,Title,Year,Certification,Runtime,Genre,Summary,Votes,Ratings
135,Mandariinid,2013,MA15+,87,"Drama, War","In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",34543,8.2
136,Kis Uykusu,2014,N/A,196,"Drama, War",A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,39024,8.2
137,Bhaag Milkha Bhaag,2013,MA15+,186,"Biography, Drama, Sport",The truth behind the ascension ofMilkha Singhwho was scarred because of the India-Pakistan partition.,56338,8.2
138,OMG: Oh My God!,2012,PG,125,"Comedy, Drama, Fantasy",A shopkeeper takes God to court when his shop is destroyed by an earthquake.,46247,8.2
139,Inside Out,2015,PG,95,"Animation, Adventure, Comedy","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",557712,8.2
140,Gangs of Wasseypur,2012,N/A,321,"Animation, Adventure, Comedy","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",71955,8.2
141,Udaan,2010,N/A,134,"Animation, Adventure, Comedy","Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",39651,8.2
142,Paan Singh Tomar,2012,N/A,135,"Animation, Adventure, Comedy","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",30057,8.2
143,El secreto de sus ojos,2009,MA15+,129,"Drama, Mystery, Romance",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,177789,8.2
144,Warrior,2011,M,140,"Drama, Sport","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",411758,8.2
145,Up,2009,PG,96,"Animation, Adventure, Comedy","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",871374,8.2
146,The Wolf of Wall Street,2013,R18+,180,"Biography, Crime, Drama","Based on the true story ofJordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",1072436,8.2
147,Chak De! India,2007,N/A,153,"Biography, Crime, Drama",Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,68608,8.2
148,Pan's Labyrinth,2006,MA15+,118,"Drama, Fantasy, War","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",584687,8.2
149,V for Vendetta,2005,MA15+,132,"Action, Drama, Sci-Fi","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",972491,8.2
150,Rang De Basanti,2006,M,167,"Comedy, Drama","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",103367,8.2
151,Black,2005,M,122,Drama,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",31734,8.2
152,Batman Begins,2005,M,140,"Action, Adventure","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",1227272,8.2
153,"Swades: We, the People",2004,G,210,Drama,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,77057,8.2
154,Downfall,2004,MA,156,"Biography, Drama, History","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",312617,8.2
155,Howl's Moving Castle,2004,PG,119,"Animation, Adventure, Family","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",292261,8.2
156,A Beautiful Mind,2001,M,135,"Biography, Drama","AfterJohn Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",791333,8.2
157,Hera Pheri,2000,N/A,156,"Biography, Drama","Three unemployed men find the answer to all their money problems when they receive a call from a kidnapper. However, things do not go as planned.",50163,8.2
158,The End of Evangelion,1997,M,87,"Animation, Action, Drama",Concurrent theatrical ending of the TV seriesShin Seiki Evangelion(1995).,31647,8.2
159,"Lock, Stock and Two Smoking Barrels",1998,MA,107,"Comedy, Crime","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",503400,8.2
160,L.A. Confidential,1997,MA,138,"Crime, Drama, Mystery","As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.",503704,8.2
161,Heat,1995,MA,170,"Crime, Drama, Thriller",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,536898,8.2
162,Casino,1995,R,178,"Crime, Drama","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",426958,8.2
163,Andaz Apna Apna,1994,N/A,160,"Crime, Drama","Two slackers competing for the affections of an heiress, inadvertently become her protectors from an evil criminal.",46599,8.2
164,Unforgiven,1992,M,130,"Drama, Western","Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The ""Schofield Kid"" (Jaimz Woolvett).",350176,8.2
165,Indiana Jones and the Last Crusade,1989,PG,127,"Action, Adventure","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up againstAdolf Hitler's Nazis again to stop them from obtaining its powers.",649929,8.2
166,My Neighbor Totoro,1988,G,86,"Animation, Family, Fantasy","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",247771,8.2
167,Die Hard,1988,M,132,"Action, Thriller",An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,736351,8.2
168,Ran,1985,PG,162,"Action, Drama","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",102454,8.2
169,Raging Bull,1980,M,129,"Biography, Drama, Sport","The life of boxerJake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",297604,8.2
170,Stalker,1979,PG,162,"Drama, Sci-Fi",A guide leads two men through an area known as the Zone to find a room that grants wishes.,102413,8.2
171,The Message,1976,NRC,177,"Biography, Drama, History",This epic historical drama chronicles the life and times of Muhammad and serves as an introduction to early Islamic history.,40934,8.2
172,Sholay,1975,PG,198,"Action, Adventure, Comedy","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",48034,8.2
173,Monty Python and the Holy Grail,1975,NRC,91,"Adventure, Comedy, Fantasy","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",472921,8.2
174,Chinatown,1974,M,130,"Drama, Mystery, Thriller","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",273155,8.2
175,Andrei Rublev,1966,NRC,205,"Biography, Drama, History","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",40894,8.2
176,The Great Escape,1963,G,172,"Adventure, Drama, History",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,209740,8.2
177,Yojimbo,1961,A,110,"Action, Drama, Thriller",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,101471,8.2
178,Judgment at Nuremberg,1961,PG,179,"Drama, War","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",63678,8.2
179,Some Like It Hot,1959,A,121,"Comedy, Music, Romance","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",227010,8.2
